vehicle_name,stock_number,status,location,fuel_type,sleeps,length,sales_price (USD),horse_power
2018 THOR COMPASS 24TF,2158095P,Used,"Escanaba, MI",,4,24 ft 11 in,103399,N/A
2021 THOR FREEDOM ELITE 24FE,2195518,Used,"Draper, UT",,6,24 ft 8 in,102599,N/A
2019 JAYCO MELBOURNE 24L,2177053,Used,"Camping World of Oklahoma City East - Oklahoma City, OK",,5,25 ft 2 in,102999,N/A
2020 THOR QUANTUM CR24,2166354P,Used,"Kansas City, KS",,4,25 ft 8 in,103999,N/A
2018 THOR CHATEAU 24HL,2167787,Used,"Kingston, NY",,5,24 ft 11 in,103999,N/A
2017 FOREST RIVER FORESTER MBS 2401R,2196026,Used,"Burlington, WA",,5,24 ft 8 in,103999,N/A
2018 THOR CHATEAU 24HL,2207424,Used,"Strafford, MO",,5,24 ft 11 in,104899,N/A
2019 THOR GEMINI 24SX,2192654P,Used,"Albuquerque, NM",,3,26 ft 0 in,104999,N/A
2020 THOR CHATEAU 24DS,2208211P,Used,"Coldwater, MI",,5,25 ft 8 in,104999,N/A
2020 FOREST RIVER FORESTER MBS 2401S,2159413,Used,"Byron, GA",,5,24 ft 8 in,104899,N/A
2020 WINNEBAGO PORTO 24F,2167386,Used,"Woodstock, GA",,6,24 ft 5 in,104999,N/A
2019 WINNEBAGO ERA 170B,2204345,Used,"Lubbock, TX",,2,24 ft 3 in,104999,N/A
2017 WINNEBAGO VIEW 24V,2206505,Used,"Denton, TX",,4,25 ft 5 in,104999,N/A
2012 COACHMEN PATHFINDER 405FK,2206893,Used,"Council Bluffs, IA",,6,41 ft 9 in,104999,N/A
2016 LEISURE TRAVEL UNITY U24CB,2156080,Used,"Camping World of Reno - Reno, NV",,4,25 ft 1 in,105999,N/A
2019 THOR CHATEAU CITATION 24ST,2183085P,Used,"Greenwood, IN",,4,25 ft 10 in,105999,N/A
2019 JAYCO MELBOURNE 24K,2190774P,Used,"West Coxsackie, NY",,5,25 ft 2 in,105999,N/A
2019 WINNEBAGO NAVION 24G,2197149,Used,"Tucson, AZ",,6,25 ft 8 in,105999,N/A
2014 LEISURE TRAVEL FREE SPIRIT 22SS,2165377Z,Used,"Wauconda, IL",,3,23 ft 4 in,105999,N/A
2018 THOR SYNERGY SD24,2182014P,Used,"Akron, OH",,5,25 ft 1 in,105999,N/A
2008 ITASCA HORIZON 40FD,2157811Z,Used,"Meridian, ID",,4,39 ft 10 in,105995,N/A
2018 WINNEBAGO VIEW 24D,2169602,Used,"Cocoa, FL",,4,25 ft 7 in,106999,N/A
2017 THOR FOUR WINDS SIESTA 24SS,2206663T,Used,"Birch Run, MI",,5,25 ft 7 in,106999,N/A
2019 ENTEGRA COACH QWEST 24L,2208192,Used,"Tucson, AZ",,5,25 ft 2 in,106999,N/A
2016 WINNEBAGO NAVION 24G,200031P,Used,"Lincoln, NE",,4,25 ft 8 in,107199,N/A
2018 TIFFIN WAYFARER 24FW,2149861,Used,"Katy, TX",,4,0 ft 0 in,106999,N/A
2020 WINNEBAGO VITA 24P,2194946P,Used,"Vacaville, CA",,5,24 ft 7 in,106999,N/A
2015 RENEGADE VILLAGIO 25HAB,2166570,Used,"Cocoa, FL",,1,22 ft 5 in,107999,N/A
2018 FOREST RIVER FORESTER MBS 2401R,2206653,Used,"Sherman, TX",,5,24 ft 11 in,107299,N/A
2017 FOREST RIVER FORESTER MBS 2401S,2181256A,Used,"Roseville, CA",,5,24 ft 8 in,107499,N/A
2017 WINNEBAGO NAVION 24J,2193292,Used,"Fort Pierce, FL",,4,25 ft 5 in,107999,N/A
2017 DYNAMAX ISATA 3 24RW,2205882,Used,"Woodstock, GA",,3,24 ft 7 in,107999,N/A
2020 THOR COMPASS 23TW,2168814,Used,"Windham, ME",,3,23 ft 6 in,108999,N/A
2020 JAYCO MELBOURNE 24L,2190613P,Used,"Roseville, CA",,5,25 ft 2 in,108999,N/A
2018 RENEGADE VILLAGIO 25QRS,2156767,Used,"Summerfield, FL",,3,24 ft 0 in,109999,N/A
2020 THOR GEMINI 24TF,2190164,Used,"Akron, OH",,4,26 ft 0 in,109999,N/A
2017 JAYCO MELBOURNE 24M,2203674P,Used,"Fresno, CA",,4,24 ft 10 in,109899,N/A
2019 THOR GEMINI 24SX,2191020,Used,"Tyler, TX",,3,26 ft 0 in,109999,N/A
